 seed  iterations  status     objective           primal        wall (ms)   
  1       140       true    1.47855129e+00    1.34892097e-14      58.1      
  2       179       true    1.95974780e+00    1.55014890e-14      72.1      
  3       221       true    2.74658051e+00    2.31828445e-14      96.2      
  4       253       true    1.12264849e+00    1.67279385e-14     112.2      
  5       137       true    1.28250921e+00    1.89570581e-14      58.9      
  6       119       true    1.02697264e+00    1.46549439e-14      49.4      
  7       329       true    1.18848925e+00    1.49463775e-14     166.4      
  8       214       true    1.15013486e+00    1.30243039e-14      93.9      
  9       177       true    1.07533831e+00    1.53323534e-14      78.4      
 10       184       true    1.00929902e+00    1.73485358e-14      92.4      
 11       229       true    1.18269525e+00    1.57651669e-14     102.2      
 12       226       true    2.02233866e+00    2.36061171e-14     101.4      
 13       221       true    2.01174316e+00    2.09138262e-14      90.5      
 14       240       true    1.16369218e+00    1.49082136e-14     108.1      
 15       196       true    1.13306987e+00    1.93664529e-14      91.1      
 16       153       true    1.26352951e+00    1.89822116e-14      75.2      
 17       150       true    1.66281544e+00    1.32671651e-14      68.8      
 18       311       true    1.19792959e+00    2.20171104e-14     147.5      
 19       179       true    1.67264543e+00    2.36893838e-14      74.3      
 20       220       true    1.13605759e+00    1.28785871e-14     103.9      
 21       125       true    1.33907591e+00    1.40720768e-14      51.9      
 22       144       true    1.18558914e+00    1.42386103e-14      72.3      
 23       281       true    1.17781024e+00    1.22206932e-14     128.8      
 24       156       true    1.16822123e+00    1.94358418e-14      62.9      
 25       190       true    1.04032589e+00    1.80411242e-14      88.1      
 26       180       true    1.44492254e+00    1.38673795e-14      75.8      
 27       172       true    1.02198750e+00    1.73645820e-14      78.2      
 28       204       true    1.01077584e+00    1.65093633e-14     105.6      
 29       264       true    1.18659479e+00    1.73264181e-14     119.6      
 30       298       true    1.23484353e+00    2.03309591e-14     136.9      
 31       316       true    1.14723829e+00    1.37667655e-14     141.7      
 32       188       true    1.59884801e+00    2.29469221e-14      79.9      
 33       276       true    1.17912905e+00    1.82215354e-14     126.5      
 34       149       true    1.68859591e+00    1.45994328e-14      64.2      
 35       208       true    1.13951456e+00    1.38916656e-14      92.5      
 36       197       true    1.19342023e+00    2.19199658e-14      84.5      
 37       143       true    1.47736399e+00    1.32064498e-14      61.1      
 38       132       true    1.08689490e+00    1.41501394e-14      53.3      
 39       185       true    1.81309070e+00    1.14630527e-14      78.6      
 40       205      false    2.20536386e+00    1.45439216e-14      81.1      
 41       248       true    1.06943286e+00    1.90195082e-14     112.7      
 42       251       true    1.07678039e+00    1.28230759e-14     118.0      
 43       156       true    1.96124434e+00    1.81243909e-14      64.6      
