 seed  iterations  status     objective           primal        wall (ms)  
  1        61       true    1.03304718e+00    1.76247905e-14     206.9     
  2        63       true    9.17472425e-01    1.62370117e-14     210.3     
  3        92       true    1.19044855e+00    1.68476344e-14     403.6     
  4        69       true    1.22112313e+00    1.94289029e-14     240.9     
  5        60       true    1.12624862e+00    1.94566585e-14     202.9     
  6        68       true    8.87239808e-01    1.58623115e-14     238.7     
  7        60       true    1.17323736e+00    1.36279876e-14     208.0     
  8        67       true    8.69594432e-01    1.70974346e-14     225.8     
  9        69       true    8.08991508e-01    1.31700206e-14     231.8     
 10        72       true    8.13536762e-01    1.53627111e-14     264.5     
 11        70       true    1.31210624e+00    2.07334150e-14     234.5     
 12        64       true    1.10693773e+00    1.49324997e-14     216.7     
 13        59       true    1.01953547e+00    1.88737914e-14     198.9     
 14        68       true    1.12810940e+00    1.95954364e-14     229.1     
 15        63       true    8.89424161e-01    1.61121116e-14     211.9     
 16        61       true    9.00413538e-01    1.69864123e-14     204.8     
 17        63       true    1.34464063e+00    1.60982339e-14     212.2     
 18        64       true    8.81367238e-01    1.73194792e-14     224.2     
 19        70       true    1.51449009e+00    1.82909243e-14     257.0     
 20        69       true    1.00989724e+00    1.94289029e-14     262.6     
 21        60       true    9.56982670e-01    1.71807013e-14     205.8     
 22        68       true    8.79707620e-01    1.84574578e-14     229.2     
 23        66       true    1.15449022e+00    1.74105457e-11     229.6     
 24        87       true    8.11169424e-01    1.85407245e-14     390.2     
 25        61       true    8.70643939e-01    1.91652250e-14     230.3     
 26        59       true    1.16332989e+00    1.88460358e-14     217.8     
 27        66       true    7.96912749e-01    8.71525074e-15     258.5     
 28        73       true    1.22742261e+00    1.40998324e-14     271.0     
 29        60       true    9.01593057e-01    1.27120536e-14     203.7     
 30        62       true    1.34161677e+00    1.98174810e-14     209.7     
 31        58       true    1.23231754e+00    1.78745907e-14     215.1     
 32        60       true    9.65868363e-01    1.80411242e-14     204.0     
 33        68       true    1.16170058e+00    2.04836148e-14     231.7     
 34        66       true    1.17508979e+00    1.83880688e-14     242.4     
 35        63       true    9.90233813e-01    1.55986335e-14     229.6     
 36        69       true    1.14901962e+00    1.83186799e-14     266.8     
 37        66       true    1.14450131e+00    1.58761893e-14     223.4     
 38        60       true    9.30508987e-01    1.72778458e-14     202.9     
 39        63       true    1.14183709e+00    1.39749323e-14     214.1     
 40        71       true    1.15500796e+00    1.95399252e-14     274.3     
 41        62       true    1.25901247e+00    2.13717932e-14     219.9     
 42        73       true    1.14588760e+00    1.60982339e-14     281.3     
 43        68       true    1.00369397e+00    1.65423231e-14     285.2     
 44        70       true    8.92360001e-01    1.70835568e-14     243.2     
 45        62       true    1.00631719e+00    1.82631688e-14     217.9     
 46        69       true    1.25006755e+00    1.97064587e-14     249.9     
 47        60       true    7.83939264e-01    1.58484337e-14     203.8     
 48        60       true    9.93376495e-01    1.55431223e-14     202.0     
 49        64       true    1.08363986e+00    1.46271883e-14     242.1     
 50        60       true    8.16468615e-01    1.14769305e-14     204.5     
 51        66       true    1.27193973e+00    2.21489493e-14     222.7     
 52        61       true    8.93745390e-01    1.74305015e-14     205.9     
 53        70       true    1.01293244e+00    1.98729921e-14     272.8     
 54        69       true    9.65147474e-01    1.86517468e-14     230.7     
 55        60       true    1.30679763e+00    1.55153668e-14     204.7     
 56        67       true    1.05749016e+00    1.81937798e-14     237.4     
 57        63       true    8.77415582e-01    1.74305015e-14     233.6     
 58        68       true    1.15898911e+00    2.10387263e-14     235.3     
 59        60       true    1.22744002e+00    1.89848137e-14     209.5     
 60        61       true    1.05323966e+00    1.72084569e-14     216.0     
 61        61       true    8.98670867e-01    1.67643677e-14     204.7     
 62        62       true    1.26658664e+00    1.40998324e-14     208.3     
 63        72       true    9.23709565e-01    1.63757896e-14     243.6     
 64        67       true    9.22262913e-01    1.54876112e-14     223.4     
 65        60       true    9.48619340e-01    1.67643677e-14     201.9     
 66        62       true    1.23383523e+00    2.02199368e-14     221.4     
 67        62       true    1.22752235e+00    1.74582571e-14     220.4     
 68        62       true    1.18501474e+00    2.15383267e-14     214.1     
 69        61       true    8.42850728e-01    1.67643677e-14     205.7     
 70        60       true    1.16263656e+00    2.12052598e-14     203.8     
 71        65       true    1.07320599e+00    1.80133686e-14     218.7     
 72        62       true    9.83504032e-01    1.89293026e-14     209.5     
 73        71       true    1.02029816e+00    1.46549439e-14     265.8     
 74        61       true    1.09920645e+00    1.81799020e-14     210.3     
 75        65       true    8.74360888e-01    9.60342916e-15     246.0     
 76        64       true    9.75563358e-01    1.61815006e-14     254.2     
 77        66       true    9.83174637e-01    1.81937798e-14     224.0     
 78        63       true    1.06388019e+00    1.57929225e-14     214.2     
 79        61       true    9.98999920e-01    2.04281037e-14     206.4     
 80        70       true    1.09480872e+00    2.04558592e-14     259.0     
 81        59       true    1.01960945e+00    1.90125693e-14     204.6     
 82        66       true    8.67044335e-01    1.02140518e-14     224.9     
 83        65       true    1.21693292e+00    1.71529457e-14     221.5     
 84        61       true    9.84224099e-01    2.00395256e-14     204.7     
 85        66       true    1.15079408e+00    1.94011474e-14     230.7     
 86        63       true    8.37865057e-01    1.90819582e-14     225.9     
 87        69       true    9.53413593e-01    1.74860126e-14     234.3     
 88        59       true    9.15591116e-01    1.19626531e-14     200.5     
 89        68       true    9.35442123e-01    1.53488333e-14     238.9     
 90        66       true    1.02940979e+00    1.54321000e-14     250.3     
 91        73       true    1.09864541e+00    2.03725925e-14     297.1     
 92        59       true    1.12064866e+00    2.04281037e-14     207.1     
 93        70       true    8.38135335e-01    1.49047441e-14     243.6     
 94        63       true    1.28947899e+00    1.87627691e-14     215.5     
 95        65       true    1.06798202e+00    1.81660242e-14     225.1     
 96        60       true    8.60959853e-01    1.59178226e-14     204.4     
 97        68       true    1.37418144e+00    2.02060590e-14     245.8     
