 seed  iterations  status     objective           primal        wall (ms)  
  1        88       true    4.46466528e+00    1.55431223e-15      22.4     
  2       151       true    2.27346847e+00    8.32667268e-15      31.4     
  3       309       true    3.67865242e+00    4.44089210e-16      80.6     
  4       120       true    2.36159646e+00    2.77555756e-16      25.3     
  5        83       true    1.20874826e+00    1.65614050e-14      17.2     
  6       116       true    1.00792929e+00    3.44011000e-11      22.8     
  7       202       true    3.77018024e+00    3.33066907e-16      49.5     
  8       343       true    3.45692787e+00    3.33066907e-16      99.5     
  9        82       true    1.97248680e+00    4.59077221e-14      20.0     
 10       164       true    2.76535888e+00    7.01660952e-14      40.9     
 11       158       true    3.76033044e+00    3.33066907e-16      35.8     
 12       455       true    2.89458128e+00    1.82093923e-14     114.9     
 13        87       true    1.54447070e+00    6.86117829e-14      19.7     
 14       125       true    1.30226498e+00    3.86121690e-13      26.6     
 15       102       true    3.85023973e+00    6.57210831e-15      25.3     
 16       280       true    2.58751377e+00    4.44089210e-16      69.8     
 17       146       true    3.33935733e+00    3.33066907e-16      30.0     
 18       119       true    1.52690969e+00    3.33066907e-16      24.4     
 19       250       true    2.54171356e+00    3.33066907e-16      64.8     
 20       104       true    1.26330906e+00    2.77555756e-16      21.4     
 21       170       true    2.10771231e+00    5.89506777e-11      39.8     
 22       158       true    3.97447205e+00    4.44089210e-16      36.7     
 23        68       true    1.90820962e+00    4.16333634e-16      13.5     
 24       148       true    2.51393734e+00    1.50435220e-14      29.6     
 25       333       true    3.17745585e+00    2.18713936e-14      92.3     
 26        84       true    1.77676998e+00    5.97106520e-14      17.5     
 27       175       true    1.31058169e+00    3.91076060e-14      39.4     
 28       151       true    2.27633218e+00    4.44089210e-16      34.8     
 29       173       true    3.17894855e+00    1.78440596e-13      44.4     
 30       125       true    1.18449904e+00    6.10622664e-16      25.5     
 31       112       true    2.30620412e+00    1.17822418e-13      22.6     
 32       157       true    1.20739405e+00    5.40928413e-13      36.4     
 33       149       true    3.52977423e+00    3.33066907e-16      33.2     
 34       150       true    3.41539580e+00    4.31876757e-14      41.3     
 35       151       true    1.88902870e+00    3.33066907e-16      33.2     
 36       181       true    2.90386502e+00    4.58574151e-14      40.8     
 37       123       true    2.58164672e+00    3.33066907e-16      27.7     
 38        91       true    1.70352971e+00    3.33066907e-16      18.5     
 39       155       true    1.72551969e+00    1.01568753e-12      37.7     
 40       110       true    3.37349405e+00    1.05415676e-13      28.6     
 41       112       true    2.64766537e+00    3.33066907e-16      23.7     
 42        90       true    1.44036516e+00    3.10931836e-14      17.7     
 43       249       true    4.40453378e+00    3.44169138e-14      65.9     
 44       104       true    4.38103820e+00    2.10942375e-14      30.2     
 45        78       true    2.34625787e+00    3.33066907e-16      17.3     
 46        89       true    2.23310376e+00    4.78506124e-14      17.9     
 47       104       true    1.77549402e+00    1.90174265e-13      20.5     
 48       119       true    2.86821922e+00    3.33066907e-16      24.3     
 49       196       true    2.45642107e+00    8.54039062e-14      50.8     
 50        73       true    3.17230204e+00    3.33066907e-16      18.9     
 51       123       true    1.31971730e+00    8.43513790e-13      27.1     
 52       145       true    1.23146718e+01    3.33066907e-16      35.9     
 53       174       true    1.75190021e+00    7.44265760e-14      39.7     
 54       240       true    2.45401749e+00    4.44089210e-16      62.8     
 55       151       true    1.71231090e+00    4.44089210e-16      31.0     
 56        80       true    1.97761489e+00    7.22755189e-14      18.8     
 57       199       true    3.03156641e+00    1.99285033e-14      49.9     
 58       190       true    2.17752760e+00    6.52373988e-11      46.7     
 59        85       true    1.22123730e+00    7.77156117e-16      18.6     
