 seed  iterations  status     objective           primal        wall (ms)  
  1        99       true    1.93358645e+00    8.07375000e-13      21.0      
  2        99       true    2.02888023e+00    1.34833811e-12      20.0      
  3        75       true    4.08040676e+00    3.33066907e-16      17.3      
  4        62       true    1.50412052e+00    2.58887356e-12      13.9      
  5        76       true    1.17661310e+00    1.63141202e-13      21.3      
  6       130       true    1.00229279e+00    4.26758628e-12      31.0      
  7       119       true    3.56899888e+00    1.46341608e-13      28.4      
  8       144       true    3.18685636e+00    4.44089210e-16      30.5      
  9        63       true    1.81350464e+00    1.27592381e-13      13.2      
 10       111       true    2.54914427e+00    3.33066907e-16      23.3      
 11       115       true    1.82325507e+00    3.22006311e-13      23.6      
 12       129       true    2.10722625e+00    5.52512897e-13      25.7      
 13        60       true    1.50052427e+00    1.31593958e-10      13.1      
 14       109       true    1.49567848e+00    5.27355937e-16      21.4      
 15        75       true    1.41771958e+00    5.39529532e-12      16.3      
 16       131       true    1.99857122e+00    2.55351296e-15      27.3      
 17       123       true    3.05772963e+00    1.98729921e-14      23.7      
 18       111       true    9.66968519e-01    3.94557997e-10      24.2      
 19       105       true    3.27534399e+00    9.93097271e-12      22.4      
 20        83       true    1.22389365e+00    3.33066907e-16      20.7      
 21        94       true    2.00699012e+00    4.44089210e-16      18.3      
 22        68       true    1.63565860e+00    7.70772335e-13      15.9      
 23        66       true    1.86036529e+00    6.66133815e-16      13.6      
 24        89       true    2.37059371e+00    5.14494627e-10      18.4      
 25       176       true    2.15306417e+00    1.43635104e-14      40.0      
 26        71       true    1.67075751e+00    3.08019332e-10      16.2      
 27       166       true    1.20042280e+00    7.65413288e-11      35.3      
 28       104       true    2.16293360e+00    4.44089210e-16      20.3      
 29        60       true    1.68416912e+00    2.50875675e-10      14.8      
 30        93       true    1.17001682e+00    6.68861425e-11      20.5      
 31       114       true    2.21319568e+00    4.44927081e-13      25.2      
 32        86       true    1.17286084e+00    2.24469179e-10      17.5      
 33        68       true    2.85308254e+00    1.40942813e-12      14.1      
 34        90       true    1.87039506e+00    3.33066907e-16      18.6      
 35        97       true    1.82143791e+00    2.22044605e-16      19.5      
 36       120       true    2.61861316e+00    1.06373063e-09      23.1      
 37        98       true    1.86852667e+00    5.47589751e-12      19.4      
 38       100       true    4.32852233e+00    6.40652115e-12      23.3      
 39       110       true    1.59747172e+00    2.20268248e-13      22.1      
 40        75       true    1.38796211e+00    9.83375187e-11      15.3      
 41       100       true    2.89356970e+00    3.50540430e-11      22.4      
 42        85       true    1.40949451e+00    3.33066907e-16      16.9      
 43        92       true    1.53420283e+00    1.44495527e-13      18.8      
 44        95       true    1.35759898e+00    2.77555756e-16      21.8      
 45        58       true    2.23593731e+00    5.12081696e-14      12.1      
 46        78       true    2.16837378e+00    3.43836071e-13      16.5      
 47        74       true    1.67500353e+00    2.20330587e-10      17.9      
 48       147       true    3.62361134e+00    1.71959631e-10      33.9      
 49       118       true    2.25460486e+00    3.19435700e-10      24.3      
 50       108       true    1.86012040e+00    4.44089210e-16      22.8      
 51        94       true    1.28923184e+00    3.88578059e-16      20.0      
 52       216       true    3.92056325e+00    3.33066907e-16      48.4      
 53       106       true    1.66783729e+00    3.33066907e-16      22.9      
 54        79       true    1.34412954e+00    5.75928194e-16      16.3      
 55        90       true    1.62319775e+00    3.33066907e-16      17.8      
 56        60       true    1.85598378e+00    6.12050688e-12      13.0      
 57        93       true    2.77607518e+00    5.39845946e-14      19.6      
 58       112       true    1.16963450e+00    1.20514709e-13      23.0      
 59        85       true    1.20137854e+00    1.02462483e-12      18.8      
 60       135       true    1.81252641e+00    2.77555756e-16      27.6      
 61        99       true    1.09745450e+00    2.74752443e-13      19.1      
 62        85       true    1.72096084e+00    4.84612350e-14      16.7      
 63        77       true    1.67479116e+00    1.96566957e-10      17.3      
 64       141       true    2.44992078e+00    2.84787471e-12      28.5      
 65       139       true    2.85860681e+00    4.44089210e-16      27.9      
 66       113       true    1.51690408e+00    2.02990662e-12      23.4      
 67       137       true    1.35339854e+00    3.33066907e-16      27.0      
 68       130       true    5.51072250e+00    1.15905341e-11      30.9      
 69        62       true    2.27590948e+00    6.63330502e-13      16.5      
 70       114       true    1.98188212e+00    2.97423197e-12      23.0      
 71        98       true    1.48948881e+00    1.04008559e-10      20.8      
 72       108       true    1.78993756e+00    7.75768338e-14      23.7      
 73       114       true    1.89485419e+00    8.53028932e-12      26.3      
 74        70       true    1.10063273e+00    4.28011238e-11      16.0      
 75        94       true    1.20194480e+00    4.44089210e-16      21.1      
 76        81       true    1.56903165e+00    7.40275896e-14      17.9      
 77       128       true    2.18413816e+00    2.77555756e-15      27.3      
 78       124       true    1.91051305e+00    3.36536354e-16      27.0      
 79        86       true    3.58030975e+00    2.77555756e-16      21.2      
 80       109       true    2.07893669e+00    3.87134769e-13      23.2      
 81       100       true    3.22955981e+00    4.04639863e-13      21.3      
 82       166       true    1.92002148e+00    1.35311207e-12      36.5      
 83        84       true    2.08353492e+00    1.04370679e-12      17.7      
 84       137       true    1.41617751e+00    3.33066907e-16      28.4      
 85        94       true    1.63435123e+00    3.83068577e-13      19.8      
 86        75       true    1.05541981e+00    4.44089210e-16      16.2      
 87       159       true    1.05585555e+00    3.33066907e-16      32.7      
 88        94       true    1.72293681e+00    4.59673966e-13      18.7      
 89       107       true    3.17767055e+00    5.55111512e-16      22.4      
 90        66       true    3.08175932e+00    7.36855021e-13      15.6      
 91       112       true    2.17903641e+00    4.44089210e-16      25.4      
 92       174       true    4.33497104e+00    5.55111512e-16      39.9      
 93        97       true    1.72774451e+00    5.96744876e-16      23.7      
