 seed  iterations  status     objective           primal        wall (ms)   
  1       301       true    3.17445849e-02    2.26229769e-11     105.8     
  2       225       true    4.55128038e-02    1.46031864e-16      96.2     
  3       280       true    5.13494456e-02    6.77655171e-13     113.4     
  4       325       true    3.00588419e-02    6.25111615e-13     124.0     
  5       264       true    2.71352807e-02    2.13844561e-10      97.7     
  6       395       true    2.66076855e-02    4.83501244e-16     147.0     
  7       448       true    4.60832420e-02    2.00226647e-15     153.1     
  8       351       true    2.80745736e-02    3.68852518e-13     139.2     
  9       520       true    2.67721059e-02    6.01058151e-16     185.9     
 10       263       true    3.03019552e-02    8.51172540e-14      99.3     
 11       527       true    6.14184753e-02    2.98351621e-13     182.3     
 12      1000      false    3.21604879e-02    6.90003364e-09     371.0     
 13       308       true    3.34061645e-02    6.35959143e-14     107.5     
 14       309       true    3.04862062e-02    6.91652760e-11     121.9     
 15       275       true    4.01685403e-02    9.40812253e-12     113.3     
 16       467       true    5.12006320e-02    3.66032188e-13     152.1     
 17       398       true    4.01767860e-02    2.28269152e-14     145.1     
 18       364       true    3.78871353e-02    3.69178058e-13     135.9     
 19       425       true    4.54976580e-02    4.34295960e-17     155.5     
 20       521       true    5.05460496e-02    5.34683440e-13     185.1     
 21       463       true    3.10298607e-02    7.39905670e-13     180.8     
 22       509       true    3.73073986e-02    2.27876745e-12     191.5     
 23       261       true    4.80006247e-02    3.46944695e-17     104.3     
 24       124      false    3.26589969e-02    8.47698411e-06      43.5     
 25       274       true    2.98760323e-02    2.59235751e-16     100.1     
 26       322       true    2.48579620e-02    5.60533998e-16     112.7     
 27       298       true    3.04750150e-02    6.31600629e-12     108.3     
 28       518       true    3.33154018e-02    4.65805866e-12     214.0     
 29       370       true    3.24675317e-02    7.19610115e-16     138.5     
 30       978       true    4.19292886e-02    4.15704781e-16     325.4     
 31       391       true    4.36437209e-02    2.30554954e-11     129.2     
 32       478       true    2.95996631e-02    3.77705446e-11     189.9     
 33       507       true    5.31702597e-02    1.34227513e-11     179.7     
 34       344       true    3.97104032e-02    5.64326999e-14     122.5     
 35       457       true    2.98780814e-02    1.70813981e-14     171.8     
 36       509       true    2.78165823e-02    5.36881557e-16     164.4     
 37       485       true    4.89136253e-02    4.29599367e-16     197.5     
 38       383       true    2.71062762e-02    3.49489321e-12     129.6     
 39       369       true    3.39163283e-02    5.61111150e-14     133.1     
 40       308       true    3.85905736e-02    5.93796045e-13     112.4     
 41       274       true    3.13497939e-02    5.24230924e-16     103.2     
 42       144       true    3.74662471e-02    3.57527025e-14      64.1     
 43       291       true    2.87921961e-02    5.55286139e-16     105.5     
 44       469       true    2.96734962e-02    4.49090076e-11     188.6     
 45       443       true    2.60703866e-02    4.72411113e-13     154.6     
 46       266       true    3.05939075e-02    5.54136711e-16      93.8     
 47       386       true    3.44990437e-02    7.30198161e-16     172.1     
 48       412       true    2.84827886e-02    2.63802521e-12     155.6     
 49       294       true    3.33673001e-02    2.13739177e-15     108.2     
 50       687       true    3.28133883e-02    3.30678926e-11     287.2     
 51       523       true    3.89536543e-02    3.62701165e-16     177.5     
 52       322       true    3.01862573e-02    5.43637024e-16     113.8     
 53       458       true    3.68448996e-02    1.04630385e-12     164.2     
 54       411       true    2.62086926e-02    3.72633758e-16     146.1     
 55       407       true    2.74445389e-02    1.00818134e-13     139.6     
 56       329       true    3.42391343e-02    5.47130751e-16     111.1     
 57       493       true    2.94075553e-02    4.43279192e-13     209.2     
 58       629       true    4.28022654e-02    1.44425568e-12     216.7     
 59       338       true    2.65555084e-02    8.24160723e-16     122.2     
 60       431      false    3.35928212e-02    3.57746760e-08     147.4     
 61       430       true    4.22987350e-02    4.96250098e-15     193.1     
 62       206       true    4.06890391e-02    7.36924017e-15      85.2     
 63       393       true    3.22898831e-02    9.06255466e-16     149.4     
 64       345       true    3.38305466e-02    1.68573098e-12     133.2     
 65       336       true    3.14438405e-02    2.11597995e-09     137.2     
 66       441       true    3.93561869e-02    2.35180798e-16     176.0     
 67       347       true    2.73838067e-02    7.90122327e-09     131.6     
 68       474       true    3.69850824e-02    2.71513248e-15     194.8     
 69       346       true    3.07374916e-02    1.35987744e-10     132.1     
 70       409       true    2.94362382e-02    9.50119161e-14     152.8     
 71       392       true    5.50583354e-02    6.02933999e-16     141.1     
 72       683       true    4.88691781e-02    4.33314503e-13     246.9     
 73       360       true    3.06521026e-02    5.48735251e-12     140.3     
 74       414       true    4.74023226e-02    5.50443217e-14     140.3     
 75       513       true    3.84703210e-02    2.00857599e-10     201.1     
 76       506       true    4.33390425e-02    1.32898853e-12     197.9     
 77       354       true    2.80202891e-02    9.29492788e-14     132.2     
 78       250       true    3.02176457e-02    2.80786417e-12      88.3     
 79       330       true    2.90559819e-02    5.32800251e-13     114.3     
 80       462       true    2.64037849e-02    6.06029667e-16     174.2     
 81       526       true    4.42998302e-02    1.48797849e-11     181.6     
 82       571       true    3.51312099e-02    6.02586186e-16     230.8     
 83       336       true    4.88086677e-02    4.52234203e-16     130.8     
 84       306       true    4.06285228e-02    5.32146100e-17     114.1     
 85       383       true    2.93446197e-02    5.77646615e-16     151.9     
 86       429       true    2.28659370e-01    3.46944695e-17     177.1     
 87       350       true    2.72371039e-02    3.57940903e-12     133.4     
 88       443       true    2.62027349e-02    3.62768048e-12     155.8     
 89       353       true    3.51591800e-02    4.29440965e-16     139.0     
 90       269       true    4.51939812e-02    2.22072108e-14     126.8     
 91       324       true    3.30511154e-02    4.32406600e-16     143.1     
 92       393       true    3.37505765e-02    1.08789439e-12     143.3     
 93       572       true    3.14459964e-02    1.40711073e-09     237.7     
 94       438       true    3.25149792e-02    1.47043046e-10     172.1     
 95       317       true    2.90436083e-02    2.41334619e-11     119.1     
 96       397       true    3.86381648e-02    2.04960044e-10     196.5     
 97       279       true    3.14763555e-02    5.58735322e-15     105.6     
 98       356       true    2.59648828e-02    5.74558131e-16     129.7     
 99       357       true    1.01413204e-01    9.76271638e-16     155.8     
 100       540       true    3.09436940e-02    6.53551264e-13     209.1     
