 seed  iterations  status     objective           primal        wall (ms)   
  1       230       true    9.97673304e-01    5.20347654e-14     650.8      
  2       268       true    1.00897893e+00    5.41233725e-14     919.5      
  3       173       true    1.92938458e+00    5.65381075e-14     505.8      
  4       266       true    9.60835046e-01    7.11652959e-14     795.0      
  5       206       true    8.35584067e-01    7.99985078e-14     607.2      
  6       140       true    8.91408901e-01    1.82987929e-12     411.9      
  7       248       true    1.01174695e+00    1.10145226e-12     741.5      
  8       130       true    9.58263883e-01    3.91908728e-14     372.8      
  9       160       true    9.27520521e-01    3.25295346e-14     470.9      
 10       110       true    8.21571906e-01    8.17901302e-13     323.4      
 11       297       true    1.04142975e+00    4.60742555e-14     922.5      
 12       259       true    9.50588110e-01    4.26325641e-14     805.0      
 13       274       true    9.83380496e-01    6.46427356e-14     851.4      
 14       191       true    1.00870586e+00    2.55021004e-12     578.2      
 15       284       true    9.82543621e-01    5.95530569e-14     858.7      
 16       214       true    8.53339646e-01    2.22036573e-13     664.1      
 17       237       true    9.62827274e-01    2.20670704e-13     711.4      
 18       292       true    1.05019943e+00    6.38863962e-14     898.4      
 19       200       true    9.75849672e-01    1.36050060e-11     599.1      
 20       218       true    9.88158079e-01    1.21530649e-12     639.8      
 21       130       true    1.20750983e+00    3.80029341e-13     381.3      
 22       203       true    8.72687237e-01    2.81788481e-14     584.0      
 23       392       true    1.01075766e+00    4.26436664e-13     1347.8      
 24       129       true    1.00507862e+00    4.19941859e-14     380.1      
 25       231       true    8.98359506e-01    5.09592368e-14     682.2      
 26       186       true    1.24290371e+00    2.76445533e-13     546.6      
 27       236       true    8.76914831e-01    6.18449305e-14     709.0      
 28       162       true    8.44644073e-01    4.43603487e-14     478.2      
 29       149       true    1.45513403e+00    4.87665464e-14     425.0      
 30       215       true    1.09829459e+00    3.75949272e-13     624.8      
 31       228       true    9.93916658e-01    8.30221308e-14     679.4      
 32       237       true    8.81157935e-01    4.65183447e-14     725.9      
 33       262       true    1.03132593e+00    4.68479422e-14     792.4      
 34       256       true    9.36834272e-01    2.62357333e-13     767.7      
 35       156       true    9.56785449e-01    4.55746552e-14     456.4      
 36       153       true    1.06915207e+00    5.76205750e-14     451.6      
 37       271       true    9.06595564e-01    1.45616852e-11     800.6      
 38       131       true    9.70758173e-01    4.22439861e-14     379.4      
 39       221       true    9.61328894e-01    5.34572386e-14     656.3      
 40       232       true    9.73741160e-01    3.62487818e-13     683.9      
 41       228       true    9.14190198e-01    5.08100506e-14     662.9      
 42       243       true    9.15840092e-01    7.00314806e-13     743.0      
 43       278       true    9.17904688e-01    6.11923706e-14     831.8      
 44       154       true    8.80470688e-01    1.13575815e-13     452.1      
 45       157       true    1.05572086e+00    2.39475106e-13     454.4      
 46       229       true    9.37981598e-01    4.25215418e-14     677.0      
 47       270       true    9.20655608e-01    7.51815277e-12     813.1      
 48       159       true    1.02776914e+00    6.08280787e-13     483.4      
 49       220       true    9.12526784e-01    5.45258283e-14     653.7      
 50       231       true    8.90625541e-01    1.10049257e-13     695.2      
 51       240       true    1.05286517e+00    1.31700484e-11     727.4      
 52       261       true    9.42305029e-01    2.04804923e-13     780.2      
 53       165       true    2.39434374e+00    3.28626015e-14     480.8      
 54       176       true    1.00064074e+00    2.03004280e-13     522.1      
 55       223       true    8.78063704e-01    6.14170173e-14     663.5      
 56       224       true    9.26851786e-01    1.70785608e-12     670.7      
 57       137       true    1.56569143e+00    4.77326512e-14     407.2      
 58       283       true    1.01143228e+00    2.19945061e-13     867.4      
 59       234       true    8.85697341e-01    3.20021787e-14     708.5      
 60       230       true    9.79039285e-01    4.15847912e-14     683.3      
 61       255       true    9.27313366e-01    4.04734579e-12     797.5      
 62       214       true    9.67419637e-01    1.02409195e-13     616.9      
 63       312       true    9.64914347e-01    3.70398157e-14     940.5      
 64       221       true    9.70977909e-01    4.94812524e-14     666.3      
 65       164       true    8.89741032e-01    9.76751106e-14     475.3      
 66       253       true    9.21965151e-01    5.14657761e-14     794.4      
 67       236       true    8.58960874e-01    6.25610674e-14     732.8      
 68       131       true    8.09087653e-01    1.10067511e-12     387.1      
 69       146       true    1.01574795e+00    7.67580444e-14     433.7      
 70       206       true    8.87652979e-01    5.67344280e-13     613.4      
 71       254       true    1.09721644e+00    2.56158150e-11     770.3      
 72       244       true    9.45653840e-01    1.49311119e-13     748.8      
 73       259       true    9.54957494e-01    3.33066907e-14     796.9      
 74       222       true    1.07226715e+00    6.33590402e-14     630.8      
 75       164       true    8.58445250e-01    8.53859769e-13     480.0      
 76       206       true    9.07336261e-01    5.51711454e-14     603.1      
 77       292       true    9.85313812e-01    5.50728907e-12     892.4      
 78       147       true    1.42768897e+00    4.60534388e-14     429.0      
 79       298       true    8.99792933e-01    5.02375919e-14     891.0      
 80       178       true    9.06197369e-01    4.09394740e-14     526.2      
 81       131       true    1.22067863e+00    3.46389584e-14     378.2      
 82       142       true    8.31341731e-01    2.99205105e-14     409.2      
 83       244       true    1.06365942e+00    1.73038667e-12     729.8      
 84       194       true    9.81921010e-01    1.86803698e-12     562.9      
 85       167       true    1.04910591e+00    2.64426120e-11     476.8      
 86       112       true    7.78401269e-01    9.87923401e-13     319.1      
 87       174       true    9.25010212e-01    5.09245424e-14     507.8      
 88       200       true    1.61836451e+00    2.91086599e-14     589.6      
 89       146       true    8.64569993e-01    4.79616347e-14     442.4      
 90       215       true    9.44956884e-01    7.10785597e-14     629.5      
 91       185       true    9.28273290e-01    1.90236715e-13     540.6      
 92       228       true    9.77795263e-01    8.28829366e-12     725.7      
 93       169       true    9.15435660e-01    2.34386693e-13     503.3      
 94       243       true    1.00528225e+00    4.85063378e-14     809.7      
 95       381       true    8.58414732e-01    2.90539814e-12     1418.4      
 96       234       true    8.65300547e-01    1.52786117e-12     760.4      
 97       254       true    8.95715075e-01    1.14017129e-12     766.9      
 98       186       true    8.42621529e-01    5.04318809e-14     544.4      
 99       100       true    8.35100695e-01    3.12527781e-14     289.2      
 100       251       true    9.61316839e-01    4.31876757e-14     759.2      
