 seed  iterations  status     objective           primal        wall (ms)   
  1      3000      false    1.06148308e+01    2.94540994e-02     14250.3      
  2      3000      false    1.02197957e+01    3.23403950e-02     14275.7      
  3      3000      false    3.09209416e+01    1.17470223e-01     14587.5      
  4      3000      false    4.65028399e+01    2.76502205e-03     15503.4      
  5      3000      false    1.11646236e+00    1.00590247e-01     16124.9      
  6      3000      false    2.48567409e+00    1.66664512e-02     16172.8      
  7      3000      false    1.41923744e+01    2.62294197e-02     14771.6      
  8      3000      false    1.69737900e+01    2.88260115e-02     14763.0      
  9      3000      false    3.02275580e+00    5.01751935e-02     16005.3      
 10      3000      false    2.10327498e+00    4.59164618e-03     15955.6      
 11      3000      false    8.26978020e+00    4.67811163e-02     15179.6      
 12      3000      false    1.26225301e+00    6.38085673e-03     15539.9      
 13      3000      false    2.01760371e+01    4.48541431e-02     14990.9      
 14      3000      false    5.60201812e+01    4.68289076e-02     14951.8      
 15      3000      false    2.38881883e+01    6.09130155e-02     14701.1      
 16      3000      false    1.08358365e+00    2.62580344e-03     15822.2      
 17      3000      false    1.34303001e+01    2.62773687e-02     14871.0      
 18      3000      false    6.17909869e+01    5.22037465e-02     14393.6      
 19      3000      false    5.59937734e+00    1.84592959e-02     15124.4      
 20      3000      false    1.74562616e+01    8.05165133e-03     14898.7      
 21      3000      false    3.35005791e+00    3.99698872e-02     15537.0      
 22      3000      false    1.21143734e+00    1.10597492e-02     15907.6      
 23      3000      false    7.07008078e+01    7.16994650e-02     14959.0      
 24      3000      false    3.55645910e+01    1.87096169e-02     14428.6      
 25      3000      false    2.06982568e+00    6.71759905e-02     16217.3      
 26      3000      false    4.57600413e+00    5.78685928e-03     15936.4      
 27      3000      false    2.65302742e+00    8.98836909e-01     16293.4      
 28      3000      false    2.04329556e+00    3.09339869e-02     15892.7      
 29      3000      false    9.16904751e+00    1.29801264e-01     14919.2      
 30      3000      false    2.28982220e+01    1.11587264e-01     14568.8      
 31      3000      false    5.80484056e+00    1.82239569e-02     15370.8      
 32      3000      false    1.09593608e+00    3.27918376e-02     15561.1      
 33      3000      false    9.79469237e+00    1.07450863e-01     14894.0      
 34      3000      false    4.95648206e+01    5.13005175e-02     14745.3      
 35      3000      false    1.51114175e+00    8.99931393e-02     16289.0      
 36      3000      false    2.15211108e+01    2.86202911e-02     14347.3      
 37      3000      false    6.44848378e+00    2.98732213e-02     15033.8      
 38      3000      false    9.64034476e-01    3.55318725e-02     15727.3      
 39      3000      false    1.46011085e+01    2.32963057e-02     14735.3      
 40      3000      false    1.61062181e+01    9.10388806e-02     14104.8      
 41      3000      false    7.44252765e+00    2.14226082e-02     14668.7      
 42      3000      false    4.05923847e+00    2.35702886e-02     15297.0      
 43      3000      false    1.26290208e+00    1.05473873e-02     15703.7      
 44      3000      false    9.86055244e-01    2.88279091e-01     15599.2      
 45      3000      false    2.77215209e+01    2.48982418e-01     14663.5      
 46      3000      false    6.22414184e+00    2.01377374e-02     14382.3      
 47      3000      false    1.16156116e+00    1.93149927e-02     15772.4      
 48      3000      false    1.01572115e+00    2.52388318e-03     15364.4      
 49      3000      false    2.87636951e+00    1.26057693e-01     15647.6      
 50      3000      false    2.70000678e+00    9.30627127e-02     16442.5      
 51      3000      false    1.33641431e+01    7.46918892e-02     15266.8      
 52      3000      false    3.23823441e+01    8.73349393e-01     14719.2      
 53      3000      false    6.63702471e+01    2.11398435e-02     14792.7      
 54      3000      false    4.02997252e+00    5.71134591e-02     14750.0      
 55      3000      false    4.07258203e+00    4.85293330e-02     15144.5      
 56      3000      false    4.47927908e+00    2.60481754e-02     14697.1      
 57      3000      false    1.40283329e+00    4.19301296e-03     16080.7      
 58      3000      false    1.41966692e+01    4.04536147e-02     14649.4      
 59      3000      false    1.04640330e+00    1.21269979e-02     15446.8      
 60      3000      false    6.33566346e+00    1.55467918e-02     14848.6      
 61      3000      false    1.74944895e+00    5.17868461e-02     15648.5      
