 seed  iterations  status     objective           primal        wall (ms)  
  1      3000      false    1.33465276e+00    1.01897192e-04     22828.5      
  2      3000      false    9.14769289e-01    4.79964359e-06     24224.3      
  3      3000      false    1.57073313e+00    2.04357415e-04     24001.9      
  4      3000      false    1.29977382e+00    2.41424162e-05     24255.4      
  5      3000      false    1.18606983e+00    1.75627820e-05     24311.1      
  6      3000      false    1.70250942e+00    2.52800984e-06     24451.1      
  7      3000      false    1.55256199e+00    1.66485899e-05     23920.5      
  8      3000      false    1.84888649e+00    1.07327043e-03     25391.5      
  9      3000      false    1.13650927e+00    1.25538728e-05     24392.1      
 10      3000      false    7.52286495e-01    9.86440983e-06     24864.3      
 11      3000      false    5.78265996e+00    7.81496897e-06     26525.7      
 12      3000      false    1.53207276e+00    6.16214012e-05     25017.7      
 13      3000      false    1.55545926e+00    4.46024823e-05     24425.0      
 14      3000      false    2.91035429e+00    3.48413898e-04     24882.3      
 15      3000      false    4.96304584e+00    5.62165362e-05     23597.9      
 16      3000      false    3.73965114e+00    3.54073812e-05     24789.5      
 17      3000      false    1.52562634e+00    1.62803769e-05     24518.6      
 18      3000      false    1.08311751e+00    5.93905267e-04     23785.7      
 19      3000      false    1.56979058e+00    3.51958861e-05     24651.1      
 20      3000      false    4.23729984e+00    1.31068479e-04     24640.7      
 21      3000      false    2.56017480e+00    4.40654573e-04     24678.3      
 22      3000      false    1.04378142e+00    9.33425715e-04     24849.1      
 23      3000      false    1.11910259e+00    1.39107657e-06     24460.3      
 24      3000      false    4.38823273e+00    2.62898951e-04     25054.7      
 25      3000      false    2.62904415e+00    1.17247136e-03     23530.4      
 26      3000      false    1.51367847e+00    1.58058665e-03     23916.5      
 27      3000      false    8.29905513e-01    1.13829171e-04     24306.7      
 28      3000      false    4.61456425e+00    7.23702031e-05     24862.1      
 29      3000      false    3.39555177e+00    2.46547573e-05     24763.2      
 30      3000      false    1.34979495e+00    1.16196566e-04     24116.1      
 31      3000      false    3.62364611e+00    6.57421861e-05     24989.7      
 32      3000      false    2.33290033e+00    3.45489576e-04     24672.9      
 33      3000      false    4.55089995e+00    1.15448855e-04     25777.9      
 34      3000      false    1.10124057e+00    5.20013817e-05     24290.6      
 35      3000      false    1.27778302e+00    1.25550350e-04     23293.7      
 36      3000      false    1.06623742e+00    6.09293583e-06     24024.1      
