 seed  iterations  status     objective           primal        wall (ms)   
  1       228       true    3.57536659e+00    4.33297842e-12     639.3      
  2       247       true    2.27297827e+00    5.97299987e-14     710.7      
  3       185       true    4.24650602e+00    6.80229206e-11     560.5      
  4       216       true    2.36137287e+00    1.81743509e-13     645.1      
  5       221       true    4.94756769e+00    1.99169570e-11     642.7      
  6       193       true    1.00772515e+00    9.70890035e-13     550.8      
  7       217       true    5.13193026e+00    3.44724249e-13     693.0      
  8       348       true    3.45672246e+00    1.90732541e-10     990.7      
  9       219       true    4.80135627e+00    2.35064190e-11     585.2      
 10       252       true    4.37398496e+00    3.80945275e-15     697.4      
 11       346       true    3.76050552e+00    6.47740417e-10     993.9      
 12       201       true    4.85068258e+00    2.38520315e-10     604.5      
 13       163       true    1.54424728e+00    1.00269792e-11     478.5      
 14       253       true    1.87346230e+00    2.02196260e-10     758.8      
 15       208       true    3.85001638e+00    3.16902060e-11     613.3      
 16       283       true    2.59380926e+00    3.09197112e-14     816.6      
 17       302       true    3.34190085e+00    2.99871239e-13     911.7      
 18       208       true    4.12530927e+00    4.02344824e-13     611.9      
 19       350       true    3.29182816e+00    4.75874895e-12     1026.7      
 20       219       true    1.26310472e+00    3.70814490e-14     610.2      
 21       326       true    2.10748887e+00    2.43249865e-13     986.9      
 22       284       true    5.06593629e+00    4.58511007e-12     861.2      
 23       191       true    1.90882899e+00    1.11022302e-15     562.0      
 24       241       true    2.51371349e+00    1.17248433e-11     691.3      
 25       233       true    5.56076988e+00    1.44917411e-12     693.7      
 26       205       true    1.77656533e+00    5.71365177e-12     586.9      
 27       274       true    2.33076222e+00    1.84829929e-12     767.0      
 28       243       true    2.27610839e+00    3.71999653e-11     706.1      
 29       229       true    1.75948830e+00    2.73558953e-13     675.1      
 30       189       true    3.97122366e+00    3.41537909e-12     564.6      
 31       220       true    4.49895497e+00    8.84214924e-12     697.8      
 32       214       true    1.20718970e+00    1.80416793e-12     619.4      
 33       160       true    5.26391965e+00    4.40966708e-13     468.6      
 34       196       true    1.92658563e+00    1.89070981e-12     553.4      
