 seed  iterations  status     objective           primal        wall (ms)  
  1       510       true    1.93357401e+00    4.99600361e-16     1522.3     
  2       905       true    4.31856973e+00    2.22044605e-16     2919.9     
  3       764       true    4.08039755e+00    1.22124533e-15     2405.4     
  4       503       true    1.50410060e+00    4.88498131e-15     1479.5     
  5       667       true    3.26127794e+00    7.32747196e-15     2056.0     
  6       848       true    5.32406217e+00    8.88178420e-16     2616.4     
  7       838      false    2.65779915e+00    4.44089210e-16     2697.4     
  8       564      false    3.40149386e+00    2.22044605e-16     1755.0     
  9       984       true    1.81348833e+00    2.22044605e-16     3105.3     
 10       774       true    2.54913409e+00    2.22044605e-16     2483.7     
 11       621       true    5.26002439e+00    1.55431223e-15     1935.2     
 12       895      false    2.10721010e+00    2.22044605e-16     2781.9     
 13       691       true    5.34813856e+00    3.33066907e-16     2150.4     
 14      1030       true    1.49566823e+00    6.66133815e-16     3329.0     
 15       693      false    3.75815336e+00    2.22044605e-16     2206.9     
 16       924       true    5.02134095e+00    2.22044605e-16     3057.6     
 17       686       true    5.84609075e+00    2.22044605e-16     2148.0     
 18       955       true    9.66948770e-01    2.22044605e-16     3069.9     
 19       826      false    3.27532776e+00    9.51461132e-13     2587.5     
 20       605      false    3.18109762e+00    4.44089210e-16     1946.3     
 21      1027       true    2.00698313e+00    2.22044605e-16     3152.6     
 22      1084       true    1.63564481e+00    4.44089210e-16     3785.4     
 23       866       true    5.57326638e+00    3.88578059e-16     2749.6     
 24      1316       true    2.37057402e+00    4.77395901e-15     4509.3     
 25       759       true    2.15305561e+00    2.22044605e-16     2317.8     
 26      1121       true    5.63562903e+00    7.91033905e-16     3562.0     
 27       644      false    1.20041105e+00    4.44089210e-16     1991.8     
 28       799       true    4.06893938e+00    2.22044605e-16     2558.9     
 29       539      false    1.68415744e+00    4.44089210e-16     1581.3     
 30       787      false    3.91273567e+00    3.33066907e-16     2516.2     
 31       641       true    2.21319349e+00    2.22044605e-16     2039.8     
 32       796       true    5.26276993e+00    2.22044605e-16     2560.8     
 33       648       true    5.07699368e+00    2.22044605e-16     2094.5     
 34       653      false    1.87038741e+00    2.22044605e-16     2025.5     
 35       696       true    1.82143088e+00    6.66133815e-16     2124.3     
 36       724       true    2.61859585e+00    2.22044605e-16     2248.4     
 37      1110       true    5.09061423e+00    2.22044605e-16     3538.8     
 38       798      false    1.65885676e+00    1.97908356e-12     2669.4     
 39       968      false    5.59117838e+00    3.41859874e-12     3187.3     
 40       524       true    2.21075094e+00    2.22044605e-16     1602.4     
 41       734       true    6.17486730e+00    2.22044605e-16     2320.0     
 42       726      false    1.40948525e+00    4.44089210e-16     2179.5     
 43       576       true    4.01041202e+00    2.88657986e-15     1718.4     
 44       583       true    1.35759125e+00    3.55271368e-15     1768.2     
 45       829      false    5.66490655e+00    2.22044605e-16     2669.8     
 46       731      false    2.16836229e+00    2.22044605e-16     2342.8     
 47       684       true    4.49016794e+00    2.22044605e-16     2132.1     
 48       776       true    3.57679687e+00    2.22044605e-16     2419.0     
 49       736       true    1.49640599e+00    1.24344979e-14     2276.2     
 50       597       true    1.86011214e+00    2.22044605e-16     1903.5     
 51       751       true    5.13199117e+00    2.22044605e-16     2370.4     
 52       894       true    5.18616239e+00    2.22044605e-16     2970.9     
 53       691       true    1.66782971e+00    1.33226763e-15     2176.4     
 54       620      false    1.43346861e+00    5.80674397e-13     1958.1     
 55       509       true    3.68262246e+00    4.44089210e-16     1619.2     
 56       618       true    1.85597045e+00    2.22044605e-16     1917.6     
 57       582       true    3.27511655e+00    1.08107967e-14     1776.7     
 58      1097       true    1.95942620e+00    2.22044605e-16     3516.0     
 59      1027      false    1.61840622e+01    6.46060982e-12     3424.9     
 60      1060       true    4.16850123e+00    2.22044605e-16     3462.6     
 61       777       true    2.09060746e+00    2.22044605e-16     2414.8     
 62       976       true    5.64397108e+00    2.22044605e-16     2988.8     
 63       708       true    1.67478142e+00    2.22044605e-16     2356.8     
 64      1018       true    6.27243683e+00    1.99840144e-15     3312.3     
 65       632      false    5.46066432e+00    2.22044605e-16     2017.6     
 66       652       true    1.51689319e+00    2.22044605e-16     1986.8     
 67       634       true    2.48676894e+00    8.88178420e-16     1962.3     
 68       916      false    2.53357515e+00    2.22044605e-16     2764.2     
 69       798       true    2.27589859e+00    2.22044605e-16     2511.9     
 70       687       true    4.60246500e+00    2.66453526e-15     2187.8     
 71      1251      false    2.66346232e+00    3.33066907e-16     4127.1     
 72       629       true    1.78992387e+00    1.38777878e-14     2005.2     
 73       789       true    2.32970921e+00    1.49880108e-15     2707.3     
 74       545       true    1.10062404e+00    1.11022302e-16     1903.6     
 75       663       true    1.20193862e+00    7.74935671e-14     2037.7     
