 seed  iterations  status     objective           primal        wall (ms)   
  1      3000      false    3.17285105e-02    6.08714193e-06     11671.4    
  2      3000      false    4.49691786e-02    1.91999448e-09     12091.3    
  3      3000      false    6.71295463e-02    2.32500411e-07     12115.8    
  4      1648       true    5.57768769e-02    2.24291696e-11     6724.8    
  5      2126      false    1.39416834e+00    3.11827711e-08     8602.8    
  6      3000      false    2.67488993e-02    2.62616707e-07     11171.7    
  7      1218       true    4.42568302e-02    5.96895450e-12     4839.9    
  8      2716       true    2.81504895e-02    1.44888546e-11     11002.5    
  9      2787       true    2.68116420e-02    3.05944770e-08     10658.5    
 10      2197       true    3.04213249e-02    8.28433704e-10     8730.7    
 11      3000      false    5.24464156e-02    2.74729468e-07     12295.6    
 12      3000      false    6.21852838e-02    1.56280426e-06     11524.9    
 13      2377       true    5.28402575e-02    7.32336469e-10     9566.4    
 14      2448       true    3.06602665e-02    2.21880916e-11     9614.8    
 15      1653       true    4.01305266e-02    1.82092168e-12     6754.8    
 16      3000      false    5.12233490e-02    1.95991810e-06     11994.4    
 17      2631       true    3.98116705e-02    5.78587331e-10     10864.1    
 18      2865       true    5.82916495e-02    6.55142607e-12     11748.1    
 19      3000      false    4.48464554e-02    3.72552389e-09     12462.4    
 20      2995       true    4.95628722e-02    5.40332223e-11     12913.4    
 21      2411       true    5.21142292e-02    9.03527253e-13     9482.1    
 22      2245       true    3.75056431e-02    1.05151443e-11     8774.5    
 23      1932       true    4.46696563e-02    9.05396313e-11     7421.4    
 24      3000      false    2.66533257e-02    8.28422388e-06     11569.5    
 25       826       true    5.84734653e-02    3.05940125e-08     3266.5    
 26      2282       true    6.36874694e-02    1.46024592e-08     9409.1    
 27      3000      false    5.11664285e-02    1.10908458e-07     12224.1    
 28      3000      false    3.33169918e-02    1.83772913e-06     12480.7    
 29      2583       true    3.25896412e-02    3.95564415e-11     10323.3    
 30      2354       true    3.88194377e-02    1.04578470e-09     9268.8    
 31      3000      false    5.96740013e-02    1.27259314e-14     12563.6    
 32      3000      false    6.03883463e-02    2.60969435e-07     11861.1    
 33      3000      false    7.36331474e-02    3.04342452e-11     12771.0    
 34      2286       true    5.44142549e-02    6.72081696e-11     9045.3    
 35      2884       true    3.01405513e-02    3.22109006e-11     11296.7    
 36      2807       true    2.75707531e-02    4.54945602e-09     11383.9    
 37      1661       true    4.84173705e-02    5.75250958e-12     6483.9    
 38      3000      false    2.72140247e-02    2.80178466e-07     11399.2    
 39      2376       true    5.37919637e-02    1.08354481e-09     9465.4    
 40      3000      false    6.89882568e-02    5.22700335e-07     11647.1    
 41      3000      false    5.26515328e-02    3.10616965e-07     12220.6    
 42      1722       true    3.74118019e-02    9.77276188e-09     6632.5    
 43      1544       true    6.40034611e-02    5.14060322e-11     6065.8    
 44      2043       true    2.99018598e-02    7.31247007e-12     7710.1    
 45      2574       true    2.64556035e-02    1.49550772e-09     9578.1    
 46      1530       true    5.16721631e-02    1.09340537e-10     5783.9    
 47      2236       true    3.44865439e-02    4.06008266e-09     8507.6    
 48      3000      false    2.86525726e-02    1.02886262e-08     11125.0    
 49      3000      false    6.11750166e-02    2.61257682e-12     12863.0    
 50      3000      false    3.28345840e-02    5.17082924e-06     11665.1    
 51      2971       true    3.86082721e-02    4.00807165e-12     12350.1    
 52      2697       true    5.35865960e-02    6.34396424e-11     10675.6    
 53      2519       true    6.16560727e-02    2.46195869e-10     9780.6    
 54      3000      false    2.65218250e-02    8.88178420e-16     11611.6    
 55      1677       true    6.49543976e-02    1.30979741e-11     6417.2    
 56      2025       true    4.75125139e-02    3.87408161e-11     8035.5    
