 seed  iterations  status     objective           primal        wall (ms)  
  1        98       true    9.28871501e-01    4.73510120e-14     354.2      
  2        87       true    8.16893362e-01    1.07141269e-12     317.3      
  3        89       true    1.07698666e+00    5.36792832e-14     331.1      
  4       105       true    1.11784723e+00    6.53366250e-14     401.7      
  5        82       true    1.02101965e+00    1.10610869e-13     319.1      
  6        98       true    7.90045153e-01    1.33870376e-12     390.2      
  7       104       true    1.06900706e+00    5.70654635e-14     402.8      
  8       112       true    8.68607168e-01    3.52842755e-14     439.5      
  9        87       true    7.67029305e-01    6.55454684e-12     345.2      
 10        77       true    7.27991445e-01    3.85247390e-14     293.6      
 11       113       true    1.23103056e+00    4.02677891e-13     460.0      
 12       109       true    9.83467365e-01    4.04953848e-14     420.3      
 13       110       true    9.17383756e-01    2.56764505e-12     442.8      
 14       141       true    1.02233482e+00    4.76008122e-14     578.6      
 15       100       true    7.91890652e-01    3.10862447e-14     382.1      
 16       100       true    7.99669872e-01    2.03340783e-12     409.3      
 17       105       true    1.24065954e+00    4.25215418e-14     463.2      
 18       113       true    7.79096944e-01    4.17721413e-14     451.7      
 19       101       true    1.40155554e+00    4.86277685e-14     392.8      
 20        93       true    9.38467532e-01    1.35894094e-13     360.8      
 21       100       true    8.46033236e-01    6.37823128e-14     401.5      
 22        86       true    8.11276622e-01    1.28404734e-13     330.3      
 23       101       true    1.04642601e+00    6.72517597e-14     384.0      
 24       119       true    7.98161327e-01    8.05806939e-14     494.4      
 25        86       true    7.69622662e-01    3.13360449e-14     338.0      
 26       108       true    1.03313726e+00    5.50393064e-14     421.0      
 27       104       true    7.04202793e-01    1.04354248e-12     411.6      
 28       100       true    1.14912752e+00    1.54352797e-13     388.0      
 29        98       true    7.99119098e-01    3.26415799e-12     385.0      
 30       108       true    1.23884702e+00    2.73808753e-14     423.6      
 31        85       true    1.12973111e+00    5.44009282e-14     320.4      
 32       115       true    8.64413078e-01    4.42701431e-14     465.4      
 33       128       true    1.06353512e+00    4.41868764e-14     508.8      
 34       107       true    1.05953819e+00    2.00424818e-13     428.7      
 35       151       true    9.06714041e-01    3.67483821e-14     637.4      
 36       110       true    1.05607885e+00    4.20774526e-14     426.9      
 37       118       true    1.04064335e+00    5.81895643e-14     469.7      
 38        96       true    8.29714645e-01    5.78627314e-13     371.9      
 39        97       true    1.03464709e+00    2.78387927e-12     362.1      
 40       140       true    1.05245068e+00    2.49078536e-13     565.6      
 41        96       true    1.15395031e+00    3.77713613e-12     373.2      
 42       102       true    1.03142527e+00    5.48850274e-11     399.8      
 43        97       true    9.00961518e-01    4.64212002e-14     373.2      
 44       100       true    8.09588247e-01    2.52020627e-14     390.0      
 45       171       true    9.11454906e-01    1.44819422e-12     722.4      
 46        89       true    1.14886375e+00    6.35602682e-14     339.3      
 47        70       true    6.84194284e-01    4.54863873e-13     263.3      
 48       104       true    8.93483757e-01    3.00198677e-12     420.7      
 49        91       true    9.59410803e-01    2.55133351e-13     344.9      
 50        86       true    7.03044154e-01    5.53446178e-14     318.7      
 51       119       true    1.16823927e+00    1.13115073e-12     496.6      
 52        87       true    7.93082911e-01    9.73550585e-12     338.5      
 53        86       true    9.22635957e-01    3.01769261e-13     331.3      
 54       112       true    8.61101410e-01    4.30488978e-14     470.3      
 55       126       true    1.17251444e+00    4.27435864e-14     505.7      
 56       100       true    9.73008955e-01    3.17429308e-13     406.4      
 57        89       true    8.09711713e-01    4.01813567e-14     348.4      
 58       116       true    1.05686064e+00    4.73232564e-14     456.8      
 59       112       true    1.10793789e+00    1.06957929e-12     444.5      
 60        95       true    1.00364733e+00    6.90438287e-14     391.8      
 61       104       true    8.20413546e-01    3.14748227e-14     433.3      
 62       119       true    1.20025590e+00    1.88524157e-12     495.0      
 63        95       true    8.49686938e-01    4.15223411e-14     382.5      
 64        95       true    8.28367852e-01    3.47202680e-13     423.1      
 65       127       true    8.57799165e-01    5.31241717e-14     514.5      
 66       102       true    1.16103776e+00    6.13675777e-14     422.0      
 67        93       true    1.12401253e+00    1.15794280e-12     373.6      
 68        97       true    1.08264343e+00    1.39894576e-12     393.8      
 69        94       true    7.42593193e-01    9.92123050e-14     355.5      
 70       112       true    1.04042470e+00    3.64985819e-14     450.4      
 71        94       true    9.69132578e-01    6.48370246e-14     368.1      
 72       129       true    8.84647072e-01    6.88060848e-14     525.6      
 73        96       true    9.09657839e-01    4.97935027e-14     375.0      
 74        94       true    9.99951690e-01    4.14113188e-14     362.2      
 75       155       true    7.73392846e-01    4.46587212e-14     623.7      
 76       103       true    8.43509923e-01    5.62327962e-14     411.9      
 77        93       true    8.96141148e-01    6.42819131e-14     358.7      
 78       102       true    9.57111272e-01    1.08069377e-13     402.6      
 79       119       true    8.90210560e-01    5.80830168e-14     478.5      
 80       116       true    1.00205078e+00    8.11850587e-14     462.5      
 81        88       true    9.21002472e-01    5.83977311e-14     330.6      
 82       126       true    7.72679546e-01    4.47419879e-14     517.9      
 83       122       true    1.12054082e+00    4.97379915e-14     510.6      
 84       105       true    8.81597153e-01    3.83026943e-14     410.8      
 85        89       true    1.04986286e+00    1.13157917e-12     331.9      
 86       100       true    7.42840078e-01    7.23529863e-13     401.6      
 87       107       true    8.52190609e-01    4.65738559e-14     444.2      
 88        95       true    8.01577221e-01    6.17048449e-13     368.6      
 89        86       true    8.52573716e-01    4.95437025e-14     330.3      
 90       123       true    9.31579352e-01    3.75671716e-14     497.2      
 91        87       true    1.00021097e+00    2.31247386e-13     335.1      
 92        78       true    1.02220036e+00    5.14310816e-14     296.8      
 93       110       true    7.37147174e-01    7.56214535e-12     467.0      
 94        96       true    1.22528810e+00    1.89282762e-13     381.2      
 95       114       true    9.51105236e-01    3.83720833e-14     474.2      
 96        84       true    7.59125677e-01    6.13847569e-12     329.7      
 97       113       true    1.26785648e+00    1.00571440e-12     448.8      
 98        92       true    1.12293195e+00    6.58362254e-14     362.2      
 99       122       true    7.69980726e-01    1.96886430e-13     501.1      
 100       145       true    7.15936740e-01    3.18772786e-14     611.9      
