 seed  iterations  status     objective           primal        wall (ms)   
  1       148       true    4.60460377e+00    4.44089210e-16     182.0      
  2       194       true    2.26688855e+00    9.15933995e-15     249.9      
  3       116       true    2.24490824e+00    2.22044605e-16     136.1      
  4        88       true    1.53742037e+00    6.96664948e-15     117.0      
  5        97       true    1.20852864e+00    1.42441614e-13     111.4      
  6        97       true    1.00772880e+00    5.55111512e-16     109.9      
  7       152       true    2.79664871e+00    1.33226763e-15     189.7      
  8       102       true    3.49433733e+00    3.45327794e-11     128.5      
  9       111       true    1.97226665e+00    2.22044605e-16     131.4      
 10       117       true    4.35582846e+00    3.51085827e-12     157.6      
 11       185       true    3.76050911e+00    3.33066907e-16     247.3      
 12       319       true    2.89435775e+00    2.68118860e-14     469.8      
 13        71       true    1.54425096e+00    7.77156117e-16      80.3      
 14        92       true    1.87188675e+00    5.55111512e-16     106.8      
 15       103       true    1.49710354e+00    3.73900910e-12     120.6      
 16       142       true    2.58729316e+00    2.22044605e-16     181.8      
 17       135       true    3.33913672e+00    2.22044605e-16     166.4      
 18       105       true    9.82029183e-01    5.13478149e-16     117.2      
 19       210       true    2.54149301e+00    1.19348975e-15     288.5      
 20        91       true    1.26310843e+00    5.15532061e-13     107.2      
 21       102       true    2.10749254e+00    2.22044605e-16     130.4      
 22       113       true    1.59474021e+00    3.05311332e-16     135.1      
 23        83       true    1.90798988e+00    6.20614671e-14      93.7      
 24       135       true    2.51371718e+00    1.34892097e-13     161.9      
 25       146       true    1.70039018e+00    4.44089210e-16     189.8      
 26       188       true    2.05089801e+00    2.22044605e-16     262.9      
 27       114       true    1.31038076e+00    5.55111512e-15     144.6      
 28       111       true    2.27611209e+00    3.88578059e-16     131.5      
 29       121       true    1.62947428e+00    2.22044605e-16     149.2      
 30       110       true    1.18427954e+00    3.99680289e-15     128.7      
 31       111       true    4.17182397e+00    2.22044605e-16     145.3      
 32        96       true    1.20719338e+00    4.44089210e-16     110.0      
 33       162       true    3.52955387e+00    4.21884749e-15     198.9      
 34       119       true    3.40240959e+00    2.22044605e-16     156.3      
 35       125       true    1.88880905e+00    4.60943228e-11     169.2      
 36       206       true    2.90382800e+00    1.22124533e-15     273.7      
 37       106       true    1.98765356e+00    2.22044605e-16     129.5      
 38        79       true    1.70331003e+00    1.22274413e-12      99.4      
 39       154       true    1.76418317e+00    2.22044605e-16     197.0      
 40       104       true    1.41682178e+00    3.73145959e-13     128.3      
 41       127       true    3.05059380e+00    2.22044605e-16     161.7      
 42        95       true    1.44014549e+00    5.66213743e-15     121.4      
 43       103       true    1.58634853e+00    7.35522754e-16     134.8      
 44        83       true    1.38754853e+00    1.02307052e-13      96.1      
 45        90       true    2.34603781e+00    3.84137167e-14      99.3      
 46       105       true    2.23288394e+00    3.33066907e-16     119.6      
 47       119       true    1.77671615e+00    2.22044605e-16     141.7      
 48       118       true    2.86801844e+00    8.84237128e-13     135.0      
 49       111       true    2.45620077e+00    4.44089210e-16     144.4      
 50       106       true    3.16986079e+00    3.33066907e-16     143.1      
 51        86       true    1.31951668e+00    1.73194792e-14     103.7      
 52       150       true    1.18101434e+01    5.77093928e-13     211.8      
 53       155       true    2.13907877e+00    2.22044605e-16     211.6      
 54       110       true    1.42411807e+00    1.11832765e-12     130.9      
 55       146       true    1.71209101e+00    1.11022302e-15     183.4      
 56        88       true    1.97741380e+00    6.66133815e-16     103.5      
 57       204       true    3.06398404e+00    9.99200722e-16     289.3      
 58       158       true    1.21138984e+00    1.55431223e-15     196.8      
 59        91       true    1.22101781e+00    1.94289029e-14     107.3      
 60       166       true    1.94028882e+00    3.33066907e-16     217.9      
 61       144       true    1.19642794e+00    5.77315973e-15     177.3      
 62       123       true    1.78708782e+00    4.44089210e-16     152.7      
 63       111       true    1.73744187e+00    1.99840144e-15     126.3      
 64        90       true    2.73809184e+00    2.22044605e-16     113.7      
 65       128       true    5.54878294e+00    1.62647673e-14     167.2      
 66       104       true    2.86963318e+00    2.20387389e-11     134.4      
 67       106       true    2.57327815e+00    1.68137726e-11     130.3      
 68       127       true    2.67382384e+00    4.76702011e-15     160.4      
 69        80       true    2.31330475e+00    2.22044605e-16      97.5      
 70       151       true    2.43057621e+00    2.22044605e-16     201.1      
 71       121       true    1.66331346e+00    2.22044605e-16     152.7      
 72       108       true    3.28900578e+00    1.79335713e-11     149.6      
 73       124       true    2.45088319e+00    2.22044605e-16     149.6      
 74       128       true    1.11450007e+00    1.97397654e-13     148.8      
 75        90       true    1.22912460e+00    1.16573418e-15     102.7      
 76        85       true    1.62238962e+00    3.36388417e-11      98.7      
 77       107       true    3.76211467e+00    1.82993620e-11     150.4      
 78        95       true    3.12345784e+00    1.78866921e-11     119.4      
 79        99       true    3.70752593e+00    2.22044605e-16     130.3      
 80       132       true    2.22244020e+00    2.22044605e-16     175.5      
 81       184       true    3.50515582e+00    8.27734149e-16     252.7      
 82       134       true    3.51441712e+00    3.33066907e-16     178.6      
 83        99       true    3.56088109e+00    3.33066907e-16     133.5      
 84       111       true    4.76165231e+00    1.94090299e-11     144.6      
 85       144       true    1.68503291e+00    2.22044605e-16     182.1      
 86        97       true    1.06912971e+00    1.11022302e-16     115.7      
 87       124       true    1.10973547e+00    1.66533454e-15     144.8      
 88       154       true    3.41367207e+00    2.22044605e-16     222.8      
 89       135       true    4.06273756e+00    5.20417043e-16     188.0      
 90        89       true    4.24738470e+00    2.22044605e-16     105.6      
