 seed  iterations  status     objective           primal        wall (ms)  
  1        81       true    4.36551689e+00    2.22044605e-16     105.4     
  2       102       true    2.02888198e+00    3.77475828e-15     122.4     
  3        86       true    4.08041032e+00    2.22044605e-16     116.1     
  4        72       true    2.27150106e+00    2.27595720e-15      94.5     
  5        76       true    1.17661571e+00    7.35522754e-16      94.8     
  6        78       true    1.00229591e+00    2.44693155e-13     103.2     
  7       102       true    2.65778093e+00    1.81687998e-13     129.2     
  8        67       true    3.40150893e+00    2.22044605e-16      92.8     
  9        89       true    1.81349263e+00    2.22044605e-16     113.3     
 10        74       true    2.54914993e+00    2.22044605e-16      99.3     
 11        83       true    1.82325782e+00    2.22044605e-16     109.5     
 12       113       true    2.10721466e+00    2.77555756e-15     147.2     
 13        56       true    1.50051590e+00    7.28639371e-13      80.4     
 14        93       true    1.25653070e+00    2.22044605e-16     123.0     
 15        61       true    3.75816377e+00    2.22044605e-16      78.9     
 16       102       true    1.99857460e+00    8.24340596e-15     124.4     
 17        90       true    3.05772665e+00    3.99680289e-15     114.6     
 18        78       true    9.66953320e-01    4.27280433e-12      95.8     
 19       100       true    2.31168373e+00    2.22044605e-16     131.1     
 20        76       true    1.22389937e+00    2.22044605e-16      92.3     
 21        74       true    2.00699091e+00    2.22044605e-16      98.5     
 22        88       true    1.46730617e+00    3.83582055e-14     112.9     
 23        64       true    1.86037017e+00    4.62130334e-15      86.4     
 24        99       true    2.37057701e+00    7.74935671e-12     123.1     
 25       126       true    2.15306414e+00    1.02140518e-14     173.6     
 26        86       true    1.67075030e+00    4.16644497e-12     111.1     
 27       106       true    1.20041898e+00    1.79101178e-12     147.4     
 28        76       true    2.16293979e+00    2.22044605e-16      99.6     
 29        74       true    1.51507807e+00    3.63042929e-14      87.0     
 30        88       true    1.17001106e+00    1.26454403e-13     107.2     
 31        83       true    2.21319596e+00    2.22044605e-16     110.9     
 32        79       true    1.17284925e+00    5.32282551e-13     105.4     
 33        76       true    5.07700656e+00    2.44249065e-15     102.0     
 34        84       true    1.87040170e+00    2.22044605e-16     112.1     
