 seed  iterations  status     objective           primal        wall (ms)   
  1       889       true    3.19074234e-02    1.55431223e-15     1836.5    
  2       856       true    4.51334942e-02    5.76529594e-14     1869.8    
  3       799       true    5.09933359e-02    7.28306304e-14     1726.5    
  4       694       true    5.57891785e-02    3.66285093e-13     1508.4    
  5       697       true    2.70390136e-02    2.09966216e-12     1509.2    
  6       881       true    2.67972964e-02    2.15594209e-12     1985.9    
  7       693       true    4.46681882e-02    2.77597249e-12     1459.7    
  8       771       true    2.82515539e-02    5.97038545e-12     1733.5    
  9       802       true    2.68682779e-02    6.75792755e-13     1794.8    
 10       802       true    3.09540812e-02    3.86164523e-12     1824.0    
 11       591       true    5.28190288e-02    5.21749310e-12     1283.5    
 12       692       true    6.23688912e-02    1.18127730e-13     1487.7    
 13       829       true    5.31417504e-02    2.83084667e-11     1777.1    
 14       739       true    3.06549591e-02    5.92960398e-13     1659.9    
 15      1000      false    4.05864503e-02    3.62133638e-10     2225.3    
 16       848       true    5.10525418e-02    2.21646107e-12     1852.8    
 17       526       true    4.05084865e-02    3.52162743e-13     1122.4    
 18      1000      false    4.27329966e-02    1.98159772e-07     2197.4    
 19       582       true    4.54786407e-02    7.45181694e-13     1238.7    
 20       866       true    4.97820485e-02    1.16584520e-12     1859.7    
 21      1000      false    5.22392609e-02    7.23192961e-09     2166.2    
 22       631       true    3.72359775e-02    1.12904302e-13     1337.7    
 23       947       true    4.50920157e-02    4.23570986e-12     2005.9    
 24       614       true    2.67676675e-02    2.53796983e-13     1304.7    
 25      1000      false    5.86623729e-02    1.81379279e-06     2110.5    
 26       652       true    2.48579702e-02    8.28069347e-14     1398.6    
 27       901       true    3.02035847e-02    6.54861146e-13     1930.6    
 28       489       true    3.33968475e-02    3.50674917e-12     1059.7    
 29       678       true    3.26017613e-02    4.68670820e-13     1445.6    
 30       716       true    3.97245026e-02    1.89198102e-11     1546.4    
 31       479       true    5.96389551e-02    8.88178420e-16     996.7    
 32       820       true    2.94244265e-02    1.63773103e-11     1830.1    
 33       629       true    7.37522024e-02    1.43408187e-10     1352.0    
 34       701       true    5.49777895e-02    4.55191440e-15     1518.1    
 35       484       true    2.99108463e-02    8.71837553e-14     1004.6    
 36       367       true    2.75424382e-02    1.08773520e-11     769.9    
 37      1000      false    4.84613539e-02    7.62735199e-09     2228.1    
 38       385       true    2.68308871e-02    5.63821622e-10     823.2    
